package_name	version	family	file	line	matched_text	context
emnapi	1.11.3	RAW_NAPI_BUFFER	package/include/node/node_api.h	128	napi_create_buffer(	"napi_async_destroy(napi_env env, napi_async_context async_context);

NAPI_EXTERN napi_status NAPI_CDECL
napi_make_callback(napi_env env,
                   napi_async_context async_context,
                   napi_value recv,
                   napi_value func,
                   size_t argc,
                   const napi_value* argv,
                   napi_value* result);

// Methods to provide node::Buffer functionality with napi types
NAPI_EXTERN napi_status NAPI_CDECL napi_create_buffer(napi_env env,
                                                      size_t length,
                                                      void** data,
                                                      napi_value* result);
#ifndef NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED
NAPI_EXTERN napi_status NAPI_CDECL
napi_create_external_buffer(napi_env env,
                            size_t length,
                            void* data,
                            node_api_basic_finalize finalize_cb,
                            void* finalize_hint,
                            napi_value* result);
#endif  // NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED"
emnapi	1.11.3	RAW_NAPI_BUFFER	package/include/node/node_api.h	134	napi_create_external_buffer(	"                   napi_value func,
                   size_t argc,
                   const napi_value* argv,
                   napi_value* result);

// Methods to provide node::Buffer functionality with napi types
NAPI_EXTERN napi_status NAPI_CDECL napi_create_buffer(napi_env env,
                                                      size_t length,
                                                      void** data,
                                                      napi_value* result);
#ifndef NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED
NAPI_EXTERN napi_status NAPI_CDECL
napi_create_external_buffer(napi_env env,
                            size_t length,
                            void* data,
                            node_api_basic_finalize finalize_cb,
                            void* finalize_hint,
                            napi_value* result);
#endif  // NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED

#if NAPI_VERSION >= 10

NAPI_EXTERN napi_status NAPI_CDECL
node_api_create_buffer_from_arraybuffer(napi_env env,
                                        napi_value arraybuffer,"
emnapi	1.11.3	RAW_NAPI_BUFFER	package/include/node/node_api.h	152	napi_create_buffer_copy(	"#endif  // NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED

#if NAPI_VERSION >= 10

NAPI_EXTERN napi_status NAPI_CDECL
node_api_create_buffer_from_arraybuffer(napi_env env,
                                        napi_value arraybuffer,
                                        size_t byte_offset,
                                        size_t byte_length,
                                        napi_value* result);
#endif  // NAPI_VERSION >= 10

NAPI_EXTERN napi_status NAPI_CDECL napi_create_buffer_copy(napi_env env,
                                                           size_t length,
                                                           const void* data,
                                                           void** result_data,
                                                           napi_value* result);
NAPI_EXTERN napi_status NAPI_CDECL napi_is_buffer(napi_env env,
                                                  napi_value value,
                                                  bool* result);
NAPI_EXTERN napi_status NAPI_CDECL napi_get_buffer_info(napi_env env,
                                                        napi_value value,
                                                        void** data,
                                                        size_t* length);
"
@mapbox/node-cpp-skel	0.2.0	NAPI_BUFFER_NEW	package/src/standalone_async/hello_async.cpp	77	Napi::Buffer<char>::New(	"    // getting called.
    // - You have access to Javascript v8 objects again
    // - You have to translate from C++ member variables to Javascript v8 objects
    // - Finally, you call the user's callback with your results
    void OnOK() final
    {
        if (!Callback().IsEmpty() && result_)
        {
            if (buffer_)
            {
                char* data = result_->data();
                std::size_t size = result_->size();
                auto buffer = Napi::Buffer<char>::New(
                    Env(),
                    data,
                    size,
                    [](Napi::Env /*unused*/, char* /*unused*/, gsl::owner<std::vector<char>*> v) {
                        delete v;
                    },
                    result_.release());
                Callback().Call({Env().Null(), buffer});
            }
            else
            {
                Callback().Call({Env().Null(), Napi::String::New(Env(), result_->data(), result_->size())});"
@mapbox/node-cpp-skel	0.2.0	NAPI_BUFFER_NEW	package/src/object_async/hello_async.cpp	86	Napi::Buffer<char>::New(	"    // getting called.
    // - You have access to Javascript v8 objects again
    // - You have to translate from C++ member variables to Javascript v8 objects
    // - Finally, you call the user's callback with your results
    void OnOK() override
    {
        if (!Callback().IsEmpty())
        {
            if (buffer_)
            {
                char * data = result_->data();
                std::size_t size = result_->size();
                auto buffer = Napi::Buffer<char>::New(Env(),
                                                      data,
                                                      size,
                                                      [](Napi::Env, char*, gsl::owner<std::vector<char>*> v) {
                                                          delete v;
                                                      },
                                                      result_.release());
                Callback().Call({Env().Null(), buffer});
            }
            else
            {
                Callback().Call({Env().Null(), Napi::String::New(Env(), result_->data(), result_->size())});
            }"
@mapbox/node-cpp-skel	0.2.0	NAPI_BUFFER_NEW	package/src/object_async/hello_async.cpp	149	Napi::Buffer<char>::New(	"            SetError(e.what());
        }
    }

    std::vector<napi_value> GetResult(Napi::Env env) override
    {
        if (result_)
        {
            if (buffer_)
            {
                char* data = result_->data();
                std::size_t size = result_->size();
                auto buffer = Napi::Buffer<char>::New(
                    env,
                    data,
                    size,
                    [](Napi::Env /*unused*/, char* /*unused*/, gsl::owner<std::vector<char>*> v) {
                        delete v;
                    },
                    result_.release());
                return {env.Null(), buffer};
            }
            return {env.Null(), Napi::String::New(env, result_->data(), result_->size())};
        }
        return Base::GetResult(env); // returns an empty vector (default)"
odbc	2.5.0	NAPI_BUFFER_NEW	package/src/odbc_connection.cpp	1205	Napi::Buffer<SQLCHAR>::New(	"            } else {
              value = Napi::Number::New(env, *(uint64_t*)parameter->ParameterValuePtr);
            }
            break;
          case SQL_C_SSHORT:
            value = Napi::Number::New(env, *(signed short*)parameter->ParameterValuePtr);
            break;
          case SQL_C_USHORT:
            value = Napi::Number::New(env, *(unsigned short*)parameter->ParameterValuePtr);
            break;
          // Napi::ArrayBuffer
          case SQL_C_BINARY:
            // value = Napi::Buffer<SQLCHAR>::New(env, (SQLCHAR*)parameter->ParameterValuePtr, *parameter->StrLen_or_IndPtr);
            value = Napi::Buffer<SQLCHAR>::Copy(env, (SQLCHAR*)parameter->ParameterValuePtr, parameter->StrLen_or_IndPtr);
            break;
          // Napi::String (char16_t)
          case SQL_C_WCHAR:
            value = Napi::String::New(env, (const char16_t*)parameter->ParameterValuePtr, parameter->StrLen_or_IndPtr/sizeof(SQLWCHAR));
            break;
          // Napi::String (char)
          case SQL_C_CHAR:
          default:
            value = Napi::String::New(env, (const char*)parameter->ParameterValuePtr);
            break;
        }"
xxhash-addon	2.1.0	RAW_NAPI_BUFFER	package/src/xxhash_addon.h	78	napi_create_buffer(	"         return NULL;                                                         \
      }                                                                       \
      napi_get_buffer_info(env, args[0], &data, &buf_len);                    \
      napi_unwrap(env, jsthis, (void **)&hasher);                             \
                                                                              \
      INTERNAL_UPDATE(hasher->state_, data, buf_len);                         \
      return NULL;                                                            \
   }

#define CANONICALIZE(TYPE_PREFIX)                                             \
   TYPE_PREFIX##canonicalFromHash(&canonical_sum, sum);                       \
                                                                              \
   napi_create_buffer(env, sizeof(TYPE_PREFIX##canonical_t),                  \
                      (void **)&result_data, &result);                        \
   *result_data = canonical_sum;

#define DIGEST(WRAPPER_TYPE, INTERNAL_DIGEST, TYPE_PREFIX)                    \
   static napi_value digest(napi_env env, napi_callback_info info) {          \
      napi_value jsthis;                                                      \
      napi_value result;                                                      \
      WRAPPER_TYPE *hasher;                                                   \
      TYPE_PREFIX##hash_t sum;                                                \
      TYPE_PREFIX##canonical_t canonical_sum;                                 \
      TYPE_PREFIX##canonical_t *result_data;                                  \
                                                                              \"
re2	1.26.1	V8_NODE_BUFFER	package/lib/addon.cc	209	node::Buffer::New(	"
	auto isolate = v8::Isolate::GetCurrent();

	auto s = t.ToLocalChecked();
	// length validation walks UTF-16 code units, so lastIndex must be bounded by
	// the UTF-16 length (s->Length(), O(1)) — not the UTF-8 byte length, which is
	// larger for non-ASCII and would let an out-of-range lastIndex read past the buffer.
	auto argLength = static_cast<size_t>(s->Length());
	// Pure ASCII iff the UTF-16 length equals the UTF-8 byte length: any
	// non-ASCII char makes the byte count strictly larger.
	bool isAscii = argLength == utf8Length(s, isolate);

	auto buffer = node::Buffer::New(isolate, s).ToLocalChecked();
	lastCache.Reset(buffer);

	auto argSize = node::Buffer::Length(buffer);
	lastStringValue.reset(buffer, argSize, argLength, startFrom, false, isAscii);

	return lastStringValue;
};

void WrappedRE2::doneWithLastString()
{
	if (!lastString.IsEmpty())
	{"
re2	1.26.1	V8_NODE_BUFFER	package/lib/set.cc	344	node::Buffer::New(	"		return true;
	}

	auto context = Nan::GetCurrentContext();
	auto isolate = v8::Isolate::GetCurrent();
	auto t = arg->ToString(context);
	if (t.IsEmpty())
	{
		return false;
	}
	auto s = t.ToLocalChecked();
	auto len = utf8Length(s, isolate);
	auto buffer = node::Buffer::New(isolate, s).ToLocalChecked();
	keepAlive = buffer;
	str.reset(buffer, node::Buffer::Length(buffer), len, 0);
	return true;
}

static std::string anchorToString(re2::RE2::Anchor anchor)
{
	switch (anchor)
	{
	case re2::RE2::ANCHOR_BOTH:
		return ""both"";
	case re2::RE2::ANCHOR_START:"
