property_id,readiness_status,rationale
FALLIBLE_BOUNDED_RESOURCE,ALREADY_EXECUTED,"the one property the stopped 494-package pipeline itself invokes (R04+R05 stages)"
LOCK_BALANCE,READY_TO_WIRE_WITH_CURRENT_FACTS,"consumes export_c_cpp_facts_v03.sc, the same raw C/C++ fact table run_pipeline_one.py already generates per package; SOUND (11/11); never wired into the npm pipeline; validated only off-npm (wolfSSL)"
PROTECTED_FIELD,READY_TO_WIRE_WITH_CURRENT_FACTS,"same fact table as LOCK_BALANCE; SOUND (11/11); never wired; validated only off-npm (wolfSSL)"
OOB_WRITE,READY_TO_WIRE_WITH_CURRENT_FACTS,"same fact table; SOUND overall (11 of 12 implementations sound, 1 explicitly rejected -- rollup still SOUND); never wired into the npm pipeline; validated only off-npm (Tor corpus, Mozilla CVEs)"
OOB_READ,READY_TO_WIRE_WITH_CURRENT_FACTS,"same fact table; SOUND; never wired; no historical run evidence found at all (npm or otherwise)"
OOB_COMPARE,READY_TO_WIRE_WITH_CURRENT_FACTS,"same fact table; SOUND; never wired; no historical run evidence found at all"
DENYLIST_PATTERN_BYPASS,NEEDS_SPECIALIZED_EXPORT,"SOUND (D1-D6 self-reported PASS) but consumes its own denylist_guards.tsv-style fact table the npm pipeline's generic export_neutral.sc does not produce; no historical run evidence found"
GLOBAL_SINGLETON_MUTATION,NEEDS_SPECIALIZED_EXPORT,"SOUND (G1-G6 self-reported PASS) but needs its own specialized JS/TS export; no historical run evidence found"
GUARD_FALLTHROUGH,NEEDS_SPECIALIZED_EXPORT,"SOUND (6/6) but needs its own specialized JS/TS export; historical evidence exists but is off-npm (WordPress admin-ajax.js, not an npm-distributed native-addon package)"
MALICIOUS_NPM_INSTALL_EXFIL,NEEDS_SPECIALIZED_EXPORT,"SOUND (M1-M13) but needs its own specialized JS/TS export; historical run evidence (13/13) is npm-ecosystem by design but not confirmed native-addon-specific or corpus-scale, see historical_runs.csv ecosystem_scope=NPM_PACKAGE_GENERAL"
UNGUARDED_SERIALIZE_DOS,NEEDS_SPECIALIZED_EXPORT,"SOUND (two independent implementations, one heavily corpus-validated) but needs its own specialized JS/TS export; historical evidence is off-npm-native-addon (mozilla/fxa, novuhq/novu -- neither is a native-addon package)"
VALIDATION_BYPASS,NEEDS_SPECIALIZED_EXPORT,"SOUND (V1-V6 self-reported PASS) but needs its own specialized JS/TS export; no historical run evidence found"
SSRF,NEEDS_SPECIALIZED_EXPORT,"SOUND (3 gates, 9/9 10/10 10/10) but needs its own specialized JS/TS export; no historical run evidence found"
PATH_TRAVERSAL,UNVERIFIED,"no dedicated frozen/gate doc found in scope -- wired to the shared taint engine but soundness itself not independently confirmed; also needs its own specialized JS/TS export even if verified"
REDOS,NEEDS_SPECIALIZED_EXPORT,"SOUND (Stage1=9/9 Stage2=7/7, FROZEN) but needs its own specialized JS/TS export; historical run evidence (1477-file real corpus scan, found CVE-2025-5892) is off-npm-native-addon-corpus, see ecosystem_scope=OTHER_ECOSYSTEM"
NOSQLI,NEEDS_SPECIALIZED_EXPORT,"SOUND at Stage1/2 gate scale (10/10, 9/9) but needs its own specialized JS/TS export; its own Stage3 corpus-scale sweep is INCOMPLETE_ABANDONED with a known unfixed classifier gap -- corpus-scale soundness is NOT established even off-npm, so wiring this one carries more open risk than the other NEEDS_SPECIALIZED_EXPORT rows"
COMMAND_INJECTION,NEEDS_SOUNDNESS_WORK,"Stage1/2A characterization reasonable but Stage2B is self-described as 'a characterization EXPERIMENT, not trusted sanitizer semantics'; never wired to a property_configs/*.json or any promotion path -- not a specialized-export gap, a soundness gap"
FAIL_OPEN_SECURITY_CONTROL,NEEDS_SPECIALIZED_EXPORT,"SOUND (F1-F8, frozen live-CPG gate, candidate-only by design) but needs its own specialized JS/TS export; no historical run evidence found"
LLM_INSECURE_OUTPUT_HANDLING,NEEDS_SPECIALIZED_EXPORT,"SOUND (L1-L7) but needs its own specialized JS/TS export; historical evidence (1 deployed RocketChat plugin) is off-npm-native-addon-corpus"
LLM_PROMPT_INJECTION,NEEDS_SPECIALIZED_EXPORT,"same implementation file and gate as LLM_INSECURE_OUTPUT_HANDLING; same export gap; same off-npm-native-addon-corpus evidence"
